District,Crop,DAP_bags_per_acre,Urea_bags_per_acre,MOP_bags_per_acre,Zinc_Sulfate_bags_per_acre,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
Amritsar,Wheat,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Rice,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Maize,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Bajra,1.22,0.0,0.24,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Moong,1.63,0.0,0.24,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Amritsar,Arhar,2.49,0.0,0.49,0.0,0.45,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (18) → Apply full dose,Potassium is medium (180) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Barnala,Wheat,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Rice,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Maize,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Bajra,1.22,0.0,0.32,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Moong,1.63,0.0,0.32,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Barnala,Arhar,2.49,0.0,0.65,0.0,0.38,Nitrogen is medium (210) → Apply 75% dose,Phosphorus is low (13) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Wheat,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Rice,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Maize,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Bajra,1.22,0.0,0.24,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Moong,1.63,0.0,0.24,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Bathinda,Arhar,2.49,0.0,0.49,0.0,0.4,Nitrogen is medium (220) → Apply 75% dose,Phosphorus is low (15) → Apply full dose,Potassium is medium (160) → Apply 75% dose,Zinc is sufficient (0.6 ppm) → No Zn needed
Faridkot,Wheat,2.49,0.0,0.65,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Rice,2.49,0.0,0.65,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Maize,2.49,0.0,0.65,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Bajra,1.22,0.0,0.32,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Moong,1.63,0.0,0.32,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Faridkot,Arhar,2.49,0.0,0.65,0.04,0.35,Nitrogen is medium (200) → Apply 75% dose,Phosphorus is low (12) → Apply full dose,Potassium is low (140) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fatehgarh Sahib,Wheat,2.49,0.0,0.49,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Rice,2.49,0.0,0.49,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Maize,2.49,0.0,0.49,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Bajra,1.22,0.0,0.24,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Moong,1.63,0.0,0.24,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fatehgarh Sahib,Arhar,2.49,0.0,0.49,0.0,0.42,Nitrogen is medium (240) → Apply 75% dose,Phosphorus is low (16) → Apply full dose,Potassium is medium (170) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Fazilka,Wheat,2.49,0.11,0.65,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Rice,2.49,0.11,0.65,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Maize,2.49,0.64,0.65,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Bajra,1.22,0.07,0.32,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Moong,1.63,0.0,0.32,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Fazilka,Arhar,2.49,0.0,0.65,0.04,0.2,Nitrogen is low (140) → Apply full dose,Phosphorus is low (6) → Apply full dose,Potassium is low (80) → Apply full dose,Zinc is deficient (0.2 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Firozpur,Wheat,1.83,0.11,0.49,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Rice,1.83,0.11,0.49,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Maize,1.83,0.51,0.49,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Bajra,0.92,0.05,0.24,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Moong,1.22,0.0,0.24,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Firozpur,Arhar,1.83,0.0,0.49,0.0,0.5,Nitrogen is medium (260) → Apply 75% dose,Phosphorus is medium (22) → Apply 75% dose,Potassium is medium (200) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Gurdaspur,Wheat,1.22,0.07,0.32,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Rice,1.22,0.07,0.32,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Maize,1.22,0.34,0.32,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Bajra,0.61,0.04,0.16,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Moong,0.81,0.0,0.16,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Gurdaspur,Arhar,1.22,0.0,0.32,0.0,0.78,Nitrogen is high (370) → Apply 50% dose,Phosphorus is high (48) → Apply 50% dose,Potassium is high (340) → Apply 50% dose,Zinc is sufficient (1.7 ppm) → No Zn needed
Hoshiarpur,Wheat,1.22,0.07,0.32,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Rice,1.22,0.07,0.32,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Maize,1.22,0.34,0.32,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Bajra,0.61,0.04,0.16,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Moong,0.81,0.0,0.16,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Hoshiarpur,Arhar,1.22,0.0,0.32,0.0,0.7,Nitrogen is high (350) → Apply 50% dose,Phosphorus is high (40) → Apply 50% dose,Potassium is high (300) → Apply 50% dose,Zinc is sufficient (1.5 ppm) → No Zn needed
Jalandhar,Wheat,1.83,0.0,0.32,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Rice,1.83,0.0,0.32,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Maize,1.83,0.0,0.32,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Bajra,0.92,0.0,0.16,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Moong,1.22,0.0,0.16,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Jalandhar,Arhar,1.83,0.0,0.32,0.0,0.65,Nitrogen is high (320) → Apply 50% dose,Phosphorus is medium (35) → Apply 75% dose,Potassium is high (280) → Apply 50% dose,Zinc is sufficient (1.2 ppm) → No Zn needed
Kapurthala,Wheat,1.22,0.07,0.32,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Rice,1.22,0.07,0.32,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Maize,1.22,0.34,0.32,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Bajra,0.61,0.04,0.16,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Moong,0.81,0.0,0.16,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
Kapurthala,Arhar,1.22,0.0,0.32,0.0,0.75,Nitrogen is high (360) → Apply 50% dose,Phosphorus is high (45) → Apply 50% dose,Potassium is high (320) → Apply 50% dose,Zinc is sufficient (1.6 ppm) → No Zn needed
