District,Crop,N_kg/ha,P_kg/ha,K_kg/ha,Zn_Sulfate_kg/ha,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
Kapurthala,Arhar,10.0,30.0,20.0,0.0,0.75,Nitrogen is high (360) → Apply 50% dose (avoid overuse),Phosphorus is high (45) → Apply 50% dose (avoid overuse),Potassium is high (320) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.6 ppm) → No Zn needed
Ludhiana,Wheat,60.0,45.0,30.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Ludhiana,Rice,60.0,45.0,30.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Ludhiana,Maize,75.0,45.0,30.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Ludhiana,Bajra,30.0,22.5,15.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Ludhiana,Moong,10.0,30.0,15.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Ludhiana,Arhar,10.0,45.0,30.0,0.0,0.55,Nitrogen is high (280) → Apply 50% dose (avoid overuse),Phosphorus is medium (25) → Apply 75% dose,Potassium is medium (220) → Apply 75% dose,Zinc is sufficient (1.0 ppm) → No Zn needed
Mansa,Wheat,120.0,60.0,40.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Mansa,Rice,120.0,60.0,40.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Mansa,Maize,150.0,60.0,40.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Mansa,Bajra,60.0,30.0,20.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Mansa,Moong,20.0,40.0,20.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Mansa,Arhar,20.0,60.0,40.0,5.0,0.25,Nitrogen is low (160) → Apply full dose,Phosphorus is low (8) → Apply full dose,Potassium is low (100) → Apply full dose,Zinc is deficient (0.3 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Moga,Wheat,60.0,45.0,20.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Moga,Rice,60.0,45.0,20.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Moga,Maize,75.0,45.0,20.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Moga,Bajra,30.0,22.5,10.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Moga,Moong,10.0,30.0,10.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Moga,Arhar,10.0,45.0,20.0,0.0,0.6,Nitrogen is high (300) → Apply 50% dose (avoid overuse),Phosphorus is medium (30) → Apply 75% dose,Potassium is high (250) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Pathankot,Wheat,60.0,30.0,20.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Pathankot,Rice,60.0,30.0,20.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Pathankot,Maize,75.0,30.0,20.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Pathankot,Bajra,30.0,15.0,10.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Pathankot,Moong,10.0,20.0,10.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Pathankot,Arhar,10.0,30.0,20.0,0.0,0.8,Nitrogen is high (380) → Apply 50% dose (avoid overuse),Phosphorus is high (50) → Apply 50% dose (avoid overuse),Potassium is high (350) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.8 ppm) → No Zn needed
Patiala,Wheat,90.0,60.0,30.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Patiala,Rice,90.0,60.0,30.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Patiala,Maize,112.5,60.0,30.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Patiala,Bajra,45.0,30.0,15.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Patiala,Moong,15.0,40.0,15.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Patiala,Arhar,15.0,60.0,30.0,0.0,0.4,Nitrogen is medium (230) → Apply 75% dose,Phosphorus is low (14) → Apply full dose,Potassium is medium (150) → Apply 75% dose,Zinc is sufficient (0.7 ppm) → No Zn needed
Rupnagar,Wheat,60.0,45.0,20.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Rupnagar,Rice,60.0,45.0,20.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Rupnagar,Maize,75.0,45.0,20.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Rupnagar,Bajra,30.0,22.5,10.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Rupnagar,Moong,10.0,30.0,10.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
Rupnagar,Arhar,10.0,45.0,20.0,0.0,0.58,Nitrogen is high (310) → Apply 50% dose (avoid overuse),Phosphorus is medium (32) → Apply 75% dose,Potassium is high (260) → Apply 50% dose (avoid overuse),Zinc is sufficient (1.1 ppm) → No Zn needed
SBS Nagar,Wheat,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
SBS Nagar,Rice,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
SBS Nagar,Maize,112.5,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
SBS Nagar,Bajra,45.0,22.5,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
SBS Nagar,Moong,15.0,30.0,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
SBS Nagar,Arhar,15.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Sangrur,Wheat,120.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Rice,120.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Maize,150.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Bajra,60.0,30.0,20.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Moong,20.0,40.0,20.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Arhar,20.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Shaheed Bhagat Singh Nagar,Wheat,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Rice,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Maize,112.5,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Bajra,45.0,22.5,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Moong,15.0,30.0,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Arhar,15.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Sri Muktsar Sahib,Wheat,120.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Rice,120.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Maize,150.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Bajra,60.0,30.0,20.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Moong,20.0,40.0,20.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Arhar,20.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Tarn Taran,Wheat,90.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Rice,90.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Maize,112.5,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Bajra,45.0,22.5,15.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Moong,15.0,30.0,15.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Arhar,15.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
