District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,0,0,0,0,0,0,0,0,0,0,0.2,(d),0,(d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,(b),0.06,0.1,0.06,0.1,0.07,0.34,0.14
Pathankot,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0.2,0.5,0.6,0.5,0.7,0.3,0.2,0.3,0.1,0,0,0.1,0,0.1,0,0,0.2,1.6,1.9,1.5,1.8,1.9,4.7,5,5.3,7.3,4.1,3,1,0.9,0.3,0.3,0.4,0.1,0.4,0.3,0.2,0.2,0.1,0,0.3,0.1,0,0,0,0,0.1,0.1,0.03,0.08,0.02,0,0.02,0.04,0.09
Tarn Taran,0.4,0.2,0.2,0.1,0.1,0.2,0.5,0.8,1,1.1,0.7,0.6,0.8,1.4,1,0.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,0,0,0,0,0,0,0,0,0,0,0,0.2,0,(d),0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0,0,0,(b),0,(a),0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.01,(b),(b),0,(b),(b),(a)
Jalandhar,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0,0,0,0.1,0,(b),0.08,0.04,0.02,0,(b),0.01,0.04
SBS Nagar,0,0,0,0,0,0,0,0,0,0,0,(d),0,(d),0,0,0,0.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,0,0,0,0,0,0,0,0,0,0,0,0,0,(d),0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0.6,0.2,0,0.1,0.4,(a),0,0.1,0,0,0,0,0,0,0,0,0,0,0,(b),0.01,0.01,0.01,0,0.01,(b),0.01
Rupnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,(d),0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,(a),0,0,0,0,0,0,0,0,0.1,(b),0,0,0,0,(b),0.01,0.01,0,0.01,0.01,0.01
SAS Nagar,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,0.1,0.1,0.1,0.1,0.1,0.7,1.9,0.4,0.3,0.3,0.5,1,1,0.9,1.3,1.9,1.6,1.6,2.3,1.7,1.6,2.3,3.1,2.8,4.8,5.7,6.9,6.2,6.3,5.7,5.8,4.3,4.2,4,2.7,6.1,6.9,6,5.8,6.2,6.3,3.7,0.7,0.4,0.3,0.3,0.3,0.4,0.97,0.27,0.18,0.2,0.16,0.14,0.12
Ferozepur,0.1,0.1,0.1,0.4,0.6,0,0.3,0.1,0.3,0.9,1.3,1,1.4,1.6,1.6,1.6,1.3,2,2.7,1.8,2.3,4.4,5.8,6.5,8.6,12.1,13.2,15.1,13.1,14.4,15.2,12.6,12.4,6.4,8,10.9,8.4,5.4,6,5.2,3.7,1.4,0.2,.,0.2,0.2,0.3,0.5,0.54,0.17,0.28,0.3,0.17,0.27,0.33
Fazilka,0.6,0.6,0.6,0.7,0.8,1.4,1.4,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,0,0.1,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.5,0.7,0.6,0.7,0.4,0.7,0.7,0.5,0.5,1.6,1.4,2,1.9,3.4,3.4,13.9,12.8,10,10.2,14.1,10.6,18.6,11.4,15.6,12,7.7,6.3,7.5,5.2,2.7,0.7,0.4,0.3,0.3,0.4,0.4,1.12,0.4,NA,NA,NA,NA,NA
Sri Muktsar Sahib,0,0,0,0.1,0,0.2,0.1,0.1,0.3,0.5,0.6,0.4,0.4,0.5,0.8,0.8,0.7,1.1,1.7,0.8,0.1,1.7,1.7,1.2,1.8,2.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.4,0.6,0.5,1.3,1,1.1,1.2,0.9,0.9,2.9,1.2,1.5,2,3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,0.3,0.4,0.3,0.2,0.2,0.5,0.6,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1,0.8,1.11,0.6,0.6,0.4,1,1.3,1.4,2,2.2,2.3,1.7,0.9,1.2,2.1,1.2,2.2,1.1,3.8,3.4,2.4,1.8,1.4,0.6,1,0.4,0.5,0.5,0.4,0.9,0.6,1,0.59,0.55,2.8,0.57,0.57,0.92
Mansa,0,0,0.1,0.1,0.1,0.1,0.2,0,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.2,0.2,0.4,0.4,0.4,0.6,1,0.7,1,1.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,0.1,0.1,0,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.7,0.7,0.7,0.7,1.3,1.9,2.2,3,2.1,1.8,2.4,3.3,4.2,4.7,6.8,5.2,6.3,6.8,5.1,1.6,3.8,2.6,3,3.5,10.1,10.1,6.9,5.9,3.2,2.2,1.6,0.6,0.5,0.5,0.4,0.7,0.9,1.54,0.63,0.39,0.3,0.9,0.3,0.54
Barnala,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.5,0.6,0.5,0.5,0.9,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.4,0.9,0.4,0.2,0.2,2.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0,2,0,0,0.1,0.1,0.1,0.1,0.32,0.11,0.16,0.2,0.11,0.06,0.16
Fatehgarh Sahib,0,0,0,0,0,0,0,0,0,0,0,(d),0,(d),0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,2.0,2.4,2.3,2.6,3.0,4.0,4.3,3.1,3.8,4.5,5.6,6.1,6.4,7.9,8.4,10.7,10.1,12,15.9,10.5,10.1,18.4,23,25.4,31.8,45,41.6,48.6,44.4,38.1,36.5,37.5,32.1,34.7,27.4,47.2,41.3,29.2,26.3,23.8,18.6,12.6,2.7,1.8,1.9,1.8,2.9,3,5.7,2.4,1.68,3.9,2,1.7,2.4
